text,category,priority
Open drain overflowing near Nagar Panchayat homes,Sanitation,High
Electricity bill error for Sector 5 residents,Electricity,Medium
Power cut every day in Nagar Panchayat for 3 hours,Electricity,Medium
Police not patrolling Ward 12 area since 3 days,Safety,High
No bus shelter at Puram Extension bus stop,Transport,Low
Construction affecting water supply in Puram Extension,Construction,High
No footpath for pedestrians on Station Road,Transport,Medium
Speed breaker damaged on Station Road highway,Road,Medium
Street lights not working on Market Street since 2 days,Electricity,Low
School building in bad condition in Nagar Panchayat,Education,High
No sports facilities in Village Kalan school,Education,Low
Blood bank not available in Block 3 hospital,Healthcare,High
Bus routes reduced suddenly in Town Area,Transport,Medium
Underground water leakage on Station Road,Water,Low
Children playground dirty and unsafe in Zone 4,Parks,Low
No security guard in Puram Extension park,Parks,Medium
Open defecation area near Nagar Panchayat school,Sanitation,Medium
Illegal construction blocking School Lane in Sector 5,Construction,Medium
Library books damaged in Zone 4 school,Education,Medium
No safety net during construction in Sector 5,Construction,Medium
Water tanker not arriving on schedule in Zone 4,Water,Low
Electric box sparking near Village Kalan school,Electricity,Medium
Sewage mixing with drinking water in Block 3,Water,Critical
Scholarship money not distributed in Sector 5,Education,Low
Mid-day meal not provided in Puram Extension school,Education,Medium
Bus not stopping at Sector 5 stop,Transport,Low
Drain blocked for 21 days in Puram Extension,Sanitation,High
Park walls have graffiti in Puram Extension,Parks,Low
Anganwadi center closed for 14 days in Ward 12,Education,Low
Drain blocked for 3 days in Puram Extension,Sanitation,Low
CCTV cameras vandalized near Town Area,Safety,Critical
Road construction debris not cleared near Sector 5,Road,Medium
Police not patrolling Colony B area since 14 days,Safety,High
Footpath broken and dangerous for walkers near Village Kalan,Road,Medium
No drinking water in Block 3 park,Parks,Low
CCTV cameras not working on Ring Road,Transport,Low
Garbage dump near Block 3 residential area,Sanitation,Low
No boundary wall in Mohalla 7 school,Education,High
Water pipeline broken near Zone 4 school,Water,High
Grass not trimmed in Sector 5 public garden,Parks,Low
Speed breaker damaged on Ring Road highway,Road,Critical
Untrained teachers in Mohalla 7 primary school,Education,Low
Park pathway broken and dangerous in Mohalla 7,Parks,Medium
Expired medicines given at Town Area clinic,Healthcare,Critical
Water supply disrupted since 3 days,Water,High
Transformer blew up near Nagar Panchayat market,Electricity,Medium
Power outage in Puram Extension colony since morning,Electricity,Low
Unmarked speed breaker causing accidents on Old Delhi Road,Road,Low
Water supply cut off for 21 days in Zone 4,Water,Critical
CCTV cameras not working on Temple Road,Transport,Medium
Illegal liquor shop operating openly in Ward 12,Safety,Critical
Expired medicines given at Ward 12 clinic,Healthcare,Critical
Children playground dirty and unsafe in Colony B,Parks,Low
Sewage mixing with drinking water in Zone 4,Water,High
Illegal weapons spotted near Block 3,Safety,High
Water supply cut off for 14 days in Nagar Panchayat,Water,Medium
Garbage dump near Sector 5 residential area,Sanitation,High
Night watchman absent from Mohalla 7,Safety,High
Park pathway broken and dangerous in Town Area,Parks,Low
No road markings visible at night on Hospital Road,Road,Medium
Auto drivers overcharging passengers in Village Kalan,Transport,Medium
Public toilet not maintained in Ward 12,Sanitation,High
Sewage overflow on Temple Road street near Zone 4,Sanitation,High
Security cameras not working in Colony B market,Safety,Critical
Untrained teachers in Village Kalan primary school,Education,Medium
Grass not trimmed in Mohalla 7 public garden,Parks,Low
Road cave-in near Town Area drainage line,Road,Low
Grass not trimmed in Town Area public garden,Parks,Medium
Chain snatching incidents in Mohalla 7 area,Safety,Medium
Leaking water pipe wasting water on Station Road,Water,High
Unmarked speed breaker causing accidents on School Lane,Road,Low
Construction affecting water supply in Mohalla 7,Construction,Low
Construction debris on footpath on Hospital Road,Construction,High
E-rickshaw causing traffic jam in Colony B,Transport,Medium
School missing benches for students in Village Kalan,Education,Low
Electric box sparking near Colony B school,Electricity,Medium
E-rickshaw causing traffic jam in Block 3,Transport,Low
Public toilet not maintained in Colony B,Sanitation,High
Water pipeline broken near Colony B school,Water,Critical
Park occupied by illegal vendors in Colony B,Parks,Low
Anganwadi center closed for 14 days in Colony B,Education,Medium
Lights flickering in Nagar Panchayat residential area,Electricity,Medium
Water supply cut off for 10 days in Ward 12,Water,High
Bus service not available to Nagar Panchayat village,Transport,Medium
Hospital building in bad condition in Puram Extension,Healthcare,High
No parking facility near Puram Extension market,Transport,Low
No electricity for 30 days in Block 3,Electricity,High
Gambling den operating in Sector 5,Safety,High
Open drain overflowing near Colony B homes,Sanitation,High
Water tanker not arriving on schedule in Block 3,Water,Low
Footpath broken and dangerous for walkers near Nagar Panchayat,Road,Medium
Park gate broken in Mohalla 7,Parks,Medium
Road construction debris not cleared near Colony B,Road,Medium
Illegal liquor shop operating openly in Zone 4,Safety,Critical
No doctors available at PHC in Colony B for 30 days,Healthcare,High
Water pipeline broken near Town Area school,Water,Critical
Auto drivers overcharging passengers in Nagar Panchayat,Transport,High
Footpath broken and dangerous for walkers near Puram Extension,Road,Critical
Medical equipment not working in Village Kalan hospital,Healthcare,High
Unauthorized extension built in Sector 5,Construction,Medium
Electricity bill error for Mohalla 7 residents,Electricity,Low
No dustbin provided in Ward 12 market,Sanitation,Medium
Road is completely broken near Sector 5 since 10 days,Road,High
Divider damaged on Ring Road main street,Road,Medium
Security cameras not working in Block 3 market,Safety,Medium
Waste collection vehicle not coming to Nagar Panchayat,Sanitation,Low
Water supply cut off for 10 days in Town Area,Water,Low
Contaminated water supply causing illness in Village Kalan,Water,Critical
No drinking water in Puram Extension park,Parks,Low
No parking facility near Village Kalan market,Transport,High
Unmarked speed breaker causing accidents on Station Road,Road,Medium
Park benches broken and unusable in Ward 12,Parks,Low
Garbage burning near Town Area school,Sanitation,High
Road encroachment by shops on MG Road,Road,High
Vaccination camp not organized in Sector 5,Healthcare,Critical
Illegal parking blocking Old Delhi Road in Block 3,Transport,High
No safety net during construction in Zone 4,Construction,Low
Children playground dirty and unsafe in Town Area,Parks,Medium
Park benches broken and unusable in Village Kalan,Parks,Medium
No last mile connectivity in Village Kalan,Transport,Low
Dead animals not removed from Station Road,Sanitation,Medium
Medical equipment not working in Mohalla 7 hospital,Healthcare,High
School building in bad condition in Puram Extension,Education,Low
Water pipeline broken near Town Area school,Water,Low
Footpath broken and dangerous for walkers near Town Area,Road,Low
Water tanker not arriving on schedule in Mohalla 7,Water,High
Park benches broken and unusable in Block 3,Parks,Low
Underground water leakage on Main Bazaar,Water,High
Garbage burning near Village Kalan school,Sanitation,High
School roof leaking during rain in Colony B,Education,High
Dirty brown water coming from tap in Ward 12,Water,High
Police not patrolling Colony B area since 2 days,Safety,Medium
Grass not trimmed in Colony B public garden,Parks,Low
Construction debris on footpath on MG Road,Construction,Medium
Bus routes reduced suddenly in Village Kalan,Transport,Medium
No safety net during construction in Town Area,Construction,Medium
Suspicious activity near ATM in Town Area,Safety,Medium
Hospital building in bad condition in Zone 4,Healthcare,Critical
Bus routes reduced suddenly in Block 3,Transport,Low
Power cut every day in Block 3 for 10 hours,Electricity,Low
Footover bridge broken near Zone 4 station,Transport,Low
Open defecation area near Town Area school,Sanitation,Critical
Divider damaged on NH-8 main street,Road,Critical
Bus not stopping at Colony B stop,Transport,Medium
No specialist doctor in Puram Extension PHC,Healthcare,High
Water supply disrupted since 2 days,Water,Critical
No dustbin provided in Mohalla 7 market,Sanitation,Critical
Building violating height norms in Mohalla 7,Construction,Medium
Unauthorized commercial construction in Mohalla 7,Construction,Low
Construction noise during night hours in Mohalla 7,Construction,High
Power outage in Nagar Panchayat colony since morning,Electricity,Medium
Park fountains not working in Town Area,Parks,Low
Unsafe scaffolding near MG Road,Construction,Medium
Dirty conditions in Colony B government hospital,Healthcare,Critical
Road is completely broken near Mohalla 7 since 10 days,Road,High
Street lights not working on Temple Road since 10 days,Electricity,Medium
Hospital building in bad condition in Town Area,Healthcare,Medium
No ambulance available in Village Kalan,Healthcare,High
Women safety issues at Puram Extension bus stop,Safety,Medium
Park occupied by illegal vendors in Block 3,Parks,Low
No water pressure in building in Mohalla 7,Water,High
CCTV cameras not working on Temple Road,Transport,Medium
Health worker absent from Zone 4 since 14 days,Healthcare,High
Unauthorized extension built in Zone 4,Construction,Low
Demolition without safety measures in Village Kalan,Construction,Low
Theft incidents increasing in Sector 5 locality,Safety,Medium
Library books damaged in Zone 4 school,Education,High
Street flooding on School Lane during monsoon,Road,Medium
Computer lab non-functional in Block 3 school,Education,High
Road is completely broken near Zone 4 since 7 days,Road,High
CCTV cameras not working on Old Delhi Road,Transport,Low
Hospital ward overcrowded in Ward 12,Healthcare,Medium
