feedback_text,sentiment,rating,category,ward
"Street lights are working perfectly now, feel safe at night",POSITIVE,5,Water,Ward 30
New bus route announcement expected soon,NEUTRAL,3,Water,Ward 43
"No street lights on dark lane, women feel unsafe",NEGATIVE,1,Transport,Ward 26
Project started but no updates for 6 months,NEGATIVE,2,Healthcare,Ward 44
"Water pipe burst causing damage, no immediate action",NEGATIVE,2,Public Safety,Ward 34
Power outage scheduled for maintenance work,NEUTRAL,3,Parks,Ward 42
Bridge inspection scheduled for next week,NEUTRAL,3,Education,Ward 31
Construction of new school building underway,NEUTRAL,3,Water,Ward 37
"Road repair done poorly, breaking again within weeks",NEGATIVE,1,Water,Ward 16
"Complained 10 times about potholes, zero response",NEGATIVE,1,Roads,Ward 48
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Public Safety,Ward 44
Work order issued for pothole repair,NEUTRAL,3,Education,Ward 45
"Garbage not collected for a week, health hazard",NEGATIVE,2,Education,Ward 36
The sanitation team is doing a commendable job,POSITIVE,5,Roads,Ward 47
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Roads,Ward 13
The contractor did excellent work on the drainage project,POSITIVE,5,Parks,Ward 10
"Quick action taken on our pothole complaint, impressed",POSITIVE,4,Roads,Ward 38
Public toilets are now clean and well maintained,POSITIVE,5,Public Safety,Ward 24
"No water supply for the past 5 days, very frustrated",NEGATIVE,2,Construction,Ward 11
"Street lights are working perfectly now, feel safe at night",POSITIVE,4,Education,Ward 8
"Contractor used substandard materials, work failing",NEGATIVE,2,Healthcare,Ward 38
Happy with the prompt response from civic authorities,POSITIVE,4,Water,Ward 34
"Construction work stopped midway, area looks terrible",NEGATIVE,2,Electricity,Ward 37
Road marking work will start after monsoon,NEUTRAL,3,Sanitation,Ward 46
Authorities not responding to any complaints,NEGATIVE,2,Construction,Ward 23
Authorities not responding to any complaints,NEGATIVE,1,Transport,Ward 13
Water pipeline replacement work in progress,NEUTRAL,3,Education,Ward 39
The construction work was neat and professional,POSITIVE,5,Education,Ward 19
"Bus frequency has increased, commuting is easier",POSITIVE,4,Transport,Ward 19
"Complaint registered, under review by department",NEUTRAL,3,Water,Ward 19
"Construction work stopped midway, area looks terrible",NEGATIVE,2,Electricity,Ward 40
Project started but no updates for 6 months,NEGATIVE,1,Public Safety,Ward 33
Road widening project completed ahead of schedule,POSITIVE,5,Electricity,Ward 43
"Public toilet in horrible condition, very unhygienic",NEGATIVE,2,Public Safety,Ward 41
"Traffic signals not working, accidents happening daily",NEGATIVE,1,Public Safety,Ward 7
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,2,Education,Ward 47
Water pipeline replacement work in progress,NEUTRAL,3,Roads,Ward 41
The bridge repair was done with high quality materials,POSITIVE,4,Transport,Ward 36
Road widening project completed ahead of schedule,POSITIVE,5,Parks,Ward 25
"No water supply for the past 5 days, very frustrated",NEGATIVE,2,Parks,Ward 6
The construction work was neat and professional,POSITIVE,5,Education,Ward 35
"No street lights on dark lane, women feel unsafe",NEGATIVE,2,Transport,Ward 47
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Transport,Ward 37
Road repair work is ongoing in our sector,NEUTRAL,3,Water,Ward 50
Happy with the prompt response from civic authorities,POSITIVE,4,Electricity,Ward 49
Authorities not responding to any complaints,NEGATIVE,1,Sanitation,Ward 40
Authorities not responding to any complaints,NEGATIVE,2,Education,Ward 31
The bridge repair was done with high quality materials,POSITIVE,5,Water,Ward 2
"Water quality has improved, no more complaints from residents",POSITIVE,5,Healthcare,Ward 38
"Public toilet in horrible condition, very unhygienic",NEGATIVE,2,Water,Ward 24
"Street lights are working perfectly now, feel safe at night",POSITIVE,4,Electricity,Ward 23
"Street lights are working perfectly now, feel safe at night",POSITIVE,5,Water,Ward 50
Authorities not responding to any complaints,NEGATIVE,1,Electricity,Ward 6
"Sewage line blocked for months, unbearable smell",NEGATIVE,2,Education,Ward 46
Traffic signal upgrade project is under review,NEUTRAL,3,Roads,Ward 45
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Parks,Ward 12
"Construction noise at midnight, residents suffering",NEGATIVE,2,Construction,Ward 16
Work order issued for pothole repair,NEUTRAL,3,Sanitation,Ward 2
The bridge repair was done with high quality materials,POSITIVE,5,Parks,Ward 23
Survey completed for new drainage line,NEUTRAL,3,Roads,Ward 10
"Construction work stopped midway, area looks terrible",NEGATIVE,1,Healthcare,Ward 31
"No water supply for the past 5 days, very frustrated",NEGATIVE,1,Transport,Ward 22
Solar street lights are a wonderful initiative,POSITIVE,5,Healthcare,Ward 6
New contractor assigned for road repair work,NEUTRAL,3,Electricity,Ward 33
"Road marking done properly, reduces accidents at night",POSITIVE,5,Construction,Ward 40
Happy with the prompt response from civic authorities,POSITIVE,4,Healthcare,Ward 46
Great improvement in garbage collection frequency,POSITIVE,4,Electricity,Ward 27
New traffic signals have reduced accidents in our area,POSITIVE,5,Sanitation,Ward 26
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,5,Electricity,Ward 12
"Water pipe burst causing damage, no immediate action",NEGATIVE,2,Electricity,Ward 19
Bridge inspection scheduled for next week,NEUTRAL,3,Construction,Ward 32
The contractor did excellent work on the drainage project,POSITIVE,5,Transport,Ward 34
The construction work was neat and professional,POSITIVE,5,Construction,Ward 33
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Transport,Ward 30
"Water quality has improved, no more complaints from residents",POSITIVE,5,Parks,Ward 45
Street light maintenance scheduled for this weekend,NEUTRAL,3,Public Safety,Ward 13
"Water pipe burst causing damage, no immediate action",NEGATIVE,2,Healthcare,Ward 14
Authorities not responding to any complaints,NEGATIVE,1,Water,Ward 2
Great improvement in garbage collection frequency,POSITIVE,5,Parks,Ward 36
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,4,Roads,Ward 49
Solar street lights are a wonderful initiative,POSITIVE,4,Sanitation,Ward 7
"Park facilities broken, children getting hurt",NEGATIVE,1,Roads,Ward 36
Road repair work is ongoing in our sector,NEUTRAL,3,Education,Ward 10
"Contractor used substandard materials, work failing",NEGATIVE,1,Water,Ward 6
"Government hospital has no medicines, pathetic service",NEGATIVE,2,Parks,Ward 7
"Street lights broken since 2 months, no action taken",NEGATIVE,2,Roads,Ward 39
Authorities not responding to any complaints,NEGATIVE,2,Education,Ward 1
"Electricity outages have reduced significantly, great work",POSITIVE,4,Sanitation,Ward 18
"Contractor used substandard materials, work failing",NEGATIVE,1,Electricity,Ward 13
Electricity department working on transformer upgrade,NEUTRAL,3,Sanitation,Ward 2
New project for park development announced for our ward,NEUTRAL,3,Construction,Ward 27
Road widening project expected to complete next month,NEUTRAL,3,Parks,Ward 2
New school building construction is progressing well,POSITIVE,4,Electricity,Ward 7
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,5,Parks,Ward 25
Bridge inspection scheduled for next week,NEUTRAL,3,Transport,Ward 32
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Parks,Ward 2
Public toilet construction tender has been floated,NEUTRAL,3,Water,Ward 4
"Electricity outages have reduced significantly, great work",POSITIVE,5,Public Safety,Ward 30
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,2,Education,Ward 26
"Government hospital has no medicines, pathetic service",NEGATIVE,1,Roads,Ward 15
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Healthcare,Ward 11
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Water,Ward 18
Public toilets are now clean and well maintained,POSITIVE,4,Transport,Ward 10
Hospital renovation work started last month,NEUTRAL,3,Sanitation,Ward 42
"Street lights broken since 2 months, no action taken",NEGATIVE,1,Electricity,Ward 17
New school building construction is progressing well,POSITIVE,4,Water,Ward 35
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Water,Ward 31
"Complaint registered, under review by department",NEUTRAL,3,Water,Ward 48
Electricity cut for 3 days without any information,NEGATIVE,2,Education,Ward 18
"Quick action taken on our pothole complaint, impressed",POSITIVE,4,Education,Ward 12
Traffic signal upgrade project is under review,NEUTRAL,3,Water,Ward 3
New contractor assigned for road repair work,NEUTRAL,3,Roads,Ward 7
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Water,Ward 48
"Park renovation looks beautiful, children love it",POSITIVE,4,Public Safety,Ward 35
Electricity department working on transformer upgrade,NEUTRAL,3,Construction,Ward 35
"Street lights broken since 2 months, no action taken",NEGATIVE,2,Transport,Ward 25
New school building construction is progressing well,POSITIVE,4,Healthcare,Ward 4
New hospital wing is a great addition to our area,POSITIVE,4,Parks,Ward 40
Traffic signal upgrade project is under review,NEUTRAL,3,Roads,Ward 33
Happy with the prompt response from civic authorities,POSITIVE,5,Education,Ward 31
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Electricity,Ward 24
Hospital renovation work started last month,NEUTRAL,3,Public Safety,Ward 23
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Electricity,Ward 41
Traffic signal upgrade project is under review,NEUTRAL,3,Healthcare,Ward 32
Garbage collection timings have been changed to morning,NEUTRAL,3,Sanitation,Ward 29
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,4,Parks,Ward 42
Road marking work will start after monsoon,NEUTRAL,3,Education,Ward 20
New bus route announcement expected soon,NEUTRAL,3,Healthcare,Ward 3
Work order issued for pothole repair,NEUTRAL,3,Water,Ward 13
Street light maintenance scheduled for this weekend,NEUTRAL,3,Education,Ward 49
"Contractor used substandard materials, work failing",NEGATIVE,2,Electricity,Ward 46
Road marking work will start after monsoon,NEUTRAL,3,Parks,Ward 32
"Quick action taken on our pothole complaint, impressed",POSITIVE,5,Public Safety,Ward 1
Project completion date extended by two months,NEUTRAL,3,Public Safety,Ward 19
"Street lights are working perfectly now, feel safe at night",POSITIVE,4,Healthcare,Ward 29
New bus route announcement expected soon,NEUTRAL,3,Transport,Ward 43
Street light maintenance scheduled for this weekend,NEUTRAL,3,Construction,Ward 49
"Road repair done poorly, breaking again within weeks",NEGATIVE,1,Construction,Ward 22
Project started but no updates for 6 months,NEGATIVE,2,Construction,Ward 31
"Road marking done properly, reduces accidents at night",POSITIVE,4,Public Safety,Ward 50
"Complained 10 times about potholes, zero response",NEGATIVE,2,Healthcare,Ward 39
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Parks,Ward 23
Hospital renovation work started last month,NEUTRAL,3,Education,Ward 25
Public toilets are now clean and well maintained,POSITIVE,4,Public Safety,Ward 5
The bridge repair was done with high quality materials,POSITIVE,4,Education,Ward 20
"Water supply erratic, pressure very low",NEGATIVE,1,Roads,Ward 4
"Contractor used substandard materials, work failing",NEGATIVE,1,Healthcare,Ward 1
Authorities not responding to any complaints,NEGATIVE,2,Education,Ward 18
Bridge inspection scheduled for next week,NEUTRAL,3,Water,Ward 28
Project completion date extended by two months,NEUTRAL,3,Education,Ward 28
"Quick action taken on our pothole complaint, impressed",POSITIVE,5,Healthcare,Ward 8
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,4,Construction,Ward 5
"Bus route cancelled without notice, people suffering",NEGATIVE,2,Sanitation,Ward 2
New school building construction is progressing well,POSITIVE,5,Education,Ward 18
"Government hospital has no medicines, pathetic service",NEGATIVE,2,Construction,Ward 31
"Quick action taken on our pothole complaint, impressed",POSITIVE,5,Transport,Ward 32
Great improvement in garbage collection frequency,POSITIVE,4,Education,Ward 36
The construction work was neat and professional,POSITIVE,4,Sanitation,Ward 30
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Education,Ward 23
Water pipeline replacement work in progress,NEUTRAL,3,Parks,Ward 10
"Road repair done poorly, breaking again within weeks",NEGATIVE,2,Sanitation,Ward 38
The contractor did excellent work on the drainage project,POSITIVE,5,Transport,Ward 48
Construction of new school building underway,NEUTRAL,3,Construction,Ward 15
Garbage collection timings have been changed to morning,NEUTRAL,3,Transport,Ward 48
"No street lights on dark lane, women feel unsafe",NEGATIVE,1,Transport,Ward 21
"The government responded quickly to our complaint, well done",POSITIVE,5,Sanitation,Ward 30
Authorities not responding to any complaints,NEGATIVE,2,Electricity,Ward 2
Road marking work will start after monsoon,NEUTRAL,3,Construction,Ward 7
"Water supply erratic, pressure very low",NEGATIVE,2,Roads,Ward 37
"Contractor used substandard materials, work failing",NEGATIVE,1,Roads,Ward 9
Public toilet construction tender has been floated,NEUTRAL,3,Public Safety,Ward 10
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Parks,Ward 48
"Water supply has improved a lot in our area, thank you",POSITIVE,5,Roads,Ward 37
"Construction noise at midnight, residents suffering",NEGATIVE,1,Transport,Ward 48
New traffic signals have reduced accidents in our area,POSITIVE,4,Water,Ward 7
Garbage collection timings have been changed to morning,NEUTRAL,3,Sanitation,Ward 45
